year_month;Año;Mes;nombre_mes
01/01/2021;2021;1;enero
01/02/2021;2021;2;febrero
01/03/2021;2021;3;marzo
01/04/2021;2021;4;abril
01/05/2021;2021;5;mayo
01/06/2021;2021;6;junio
01/07/2021;2021;7;julio
01/08/2021;2021;8;agosto
01/09/2021;2021;9;septiembre
01/10/2021;2021;10;octubre
01/11/2021;2021;11;noviembre
01/12/2021;2021;12;diciembre
01/01/2022;2022;1;enero
01/02/2022;2022;2;febrero
01/03/2022;2022;3;marzo
01/04/2022;2022;4;abril
01/05/2022;2022;5;mayo
01/06/2022;2022;6;junio
01/07/2022;2022;7;julio
01/08/2022;2022;8;agosto
01/09/2022;2022;9;septiembre
01/10/2022;2022;10;octubre
01/11/2022;2022;11;noviembre
