EUSTAT;municipio_nombre;comarca
01001;ALEGRIA-DULANTZI;LAUTADA
01002;AMURRIO;AIALA
01006;ARMIÑON;VALLES
01008;ARRATZUA-UBARRUNDIA;LAUTADA
01004;ARTZINIEGA;AIALA
01009;ASPARRENA;LAUTADA
01010;AYALA/AIARA;AIALA
01049;AÑANA;VALLES
01013;BARRUNDIA;LAUTADA
01014;BERANTEVILLA;VALLES
01021;ELBURGO/BURGUELU;LAUTADA
01059;VITORIA-GASTEIZ;GASTEIZ
01027;IRURAIZ-GAUNA;LAUTADA
01901;IRUÑA OKA/IRUÑA DE OCA;VALLES
01020;KUARTANGO;VALLES
01902;LANTARON;VALLES
01036;LAUDIO/LLODIO;AIALA
01042;OKONDO;AIALA
48074;URDUÑA/ORDUÑA;AIALA
01046;ERRIBERAGOITIA/RIBERA ALTA;VALLES
01047;RIBERA BAJA/ERRIBERA BEITIA;VALLES
01051;SALVATIERRA/AGURAIN;LAUTADA
01053;SAN MILLAN/DONEMILIAGA;LAUTADA
01055;VALDEGOVÍA/GAUEA;VALLES
01061;ZALDUONDO;LAUTADA
01062;ZAMBRANA;VALLES
